code,type,title,lyrics,pinyin
R7-1,PnW,若有人在基督里,"我来到主座前，生命交出你掌权。
你心意向我彰显，我愿成为你荣耀的器皿。
旧事已过去是新的，恩主的爱使我重生。
现在活着不再是我，乃是基督在我里面活着。
若有人在基督里，若有人在基督里，
他是全新的人，全新的人。
现在的事全都变新了，
你是全新的人，他是全新的人。
因你为我舍己，因你为我舍己。
旧事已过，旧事已过，
全是新的，全是新的，
全是新的，全是新的。",wo lai dao zhu zuo qian sheng ming jiao chu ni zhang quan ni xin yi xiang wo zhang xian wo yuan cheng wei ni rong yao de qi min jiu shi yi guo qu shi xin de en zhu de ai shi wo chong sheng xian zai huo zhe bu zai shi wo nai shi ji du zai wo li mian huo zhe ruo you ren zai ji du li ruo you ren zai ji du li ta shi quan xin de ren quan xin de ren xian zai de shi quan dou bian xin le ni shi quan xin de ren ta shi quan xin de ren yin ni wei wo she ji yin ni wei wo she ji jiu shi yi guo jiu shi yi guo quan shi xin de quan shi xin de quan shi xin de quan shi xin de
A2-1,PnW,安静,"藏我在翅膀荫下
遮盖我在你大能手中
当大海翻腾波涛汹涌
我随你展翅暴风上空
父你仍作王在洪水中
我要安静知你是神
我灵安息在基督里
你大能使我安然信靠
当大海翻腾波涛汹涌
我随你展翅暴风上空
父你仍作王在洪水中
我要安静知你是神",cang wo zai chi bang yin xia zhe gai wo zai ni da neng shou zhong dang da hai fan teng bo tao xiong yong wo sui ni zhan chi bao feng shang kong fu ni reng zuo wang zai hong shui zhong wo yao an jing zhi ni shi shen wo ling an xi zai ji du li ni da neng shi wo an ran xin kao dang da hai fan teng bo tao xiong yong wo sui ni zhan chi bao feng shang kong fu ni reng zuo wang zai hong shui zhong wo yao an jing zhi ni shi shen
A4-1,PnW,爱的真谛,"爱是恒久忍耐，又有恩慈，爱是不嫉妒。
爱是不自夸，不张狂，不做害羞的事。
不求自己的益处，不轻易发怒。
不计算人家的恶，不喜欢不义，只喜欢真理。
凡事包容，凡事相信，凡事盼望。
凡事忍耐，凡事要忍耐，爱是永不止息。",ai shi heng jiu ren nai you you en ci ai shi bu ji du ai shi bu zi kua bu zhang kuang bu zuo hai xiu de shi bu qiu zi ji de yi chu bu qing yi fa nu bu ji suan ren jia de e bu xi huan bu yi zhi xi huan zhen li fan shi bao rong fan shi xiang xin fan shi pan wang fan shi ren nai fan shi yao ren nai ai shi yong bu zhi xi
A4-2,PnW,爱中相遇,"每一天，渴望与祢在爱中相遇。再一次，将自己完全地献给祢。唯有祢，是我的喜乐和力量，我甘愿舍弃一切跟随祢。将我全人献上当作活祭，以清洁的心，单单事奉祢；愿祢旨意成全在我的生命里，求圣灵更新，掌管我一生。
每一天，渴望与祢在爱中相遇。再一次，降服在祢大能荣耀里。唯有祢，是我的良人和恩友，我愿意一生敬拜荣耀祢。
洁净我，吸引我，快跑跟随祢，在爱中遇见祢。
洁净我，吸引我，快跑跟随祢，荣耀中敬拜祢。",mei yi tian ke wang yu mi zai ai zhong xiang yu zai yi ci jiang zi ji wan quan di xian gei mi wei you mi shi wo de xi le he li liang wo gan yuan she qi yi qie gen sui mi jiang wo quan ren xian shang dang zuo huo ji yi qing jie de xin dan dan shi feng mi yuan mi zhi yi cheng quan zai wo de sheng ming li qiu sheng ling geng xin zhang guan wo yi sheng mei yi tian ke wang yu mi zai ai zhong xiang yu zai yi ci xiang fu zai mi da neng rong yao li wei you mi shi wo de liang ren he en you wo yuan yi yi sheng jing bai rong yao mi jie jing wo xi yin wo kuai pao gen sui mi zai ai zhong yu jian mi jie jing wo xi yin wo kuai pao gen sui mi rong yao zhong jing bai mi
A4-3,PnW,爱我愿意,"十字架上的光芒，温柔又慈祥，
带着主爱的力量，向着我照亮。
我的心不再隐藏，完全的摆上，
愿主爱来浇灌我，在爱中得自由释放。

我愿意降服，我愿意降服，
在祢爱的怀抱中，我愿意降服，
祢是我的主，祢是我的主，
永远在祢怀抱中，祢是我，祢是我的主。",shi zi jia shang de guang mang wen rou you ci xiang dai zhe zhu ai de li liang xiang zhe wo zhao liang wo de xin bu zai yin cang wan quan de bai shang yuan zhu ai lai jiao guan wo zai ai zhong de zi you shi fang wo yuan yi xiang fu wo yuan yi xiang fu zai mi ai de huai bao zhong wo yuan yi xiang fu mi shi wo de zhu mi shi wo de zhu yong yuan zai mi huai bao zhong mi shi wo mi shi wo de zhu
A5-1,PnW,爱我们的家,"每个人爱它，家就有光彩，
每个人付出，家就不孤独，
每个人珍惜，家就有甜蜜，
每个人宽恕，家就有幸福。
让爱天天住你家，
让爱天天住我家，
不分日夜秋冬春夏，
全心全意爱我们的家。",mei ge ren ai ta jia jiu you guang cai mei ge ren fu chu jia jiu bu gu du mei ge ren zhen xi jia jiu you tian mi mei ge ren kuan shu jia jiu you xing fu rang ai tian tian zhu ni jia rang ai tian tian zhu wo jia bu fen ri ye qiu dong chun xia quan xin quan yi ai wo men de jia
A5-2,PnW,爱喜乐生命,"时空不能隔绝祂的爱，因祂爱我直到万代，
世界不能阻挡祂的爱，因祂爱我永不更改。
祂的爱胜过死亡阴霾，祂的爱驱走忧愁悲哀。
让主爱浇灌我们的心，喜乐泉源涌自心底，忧愁不再，我们有喜乐的生命。
让主爱充满我们的心，生命火花扬自心底，泪水不再，我们有永恒的生命。",shi kong bu neng ge jue ta de ai yin ta ai wo zhi dao wan dai shi jie bu neng zu dang ta de ai yin ta ai wo yong bu geng gai ta de ai sheng guo si wang yin mai ta de ai qu zou you chou bei ai rang zhu ai jiao guan wo men de xin xi le quan yuan yong zi xin di you chou bu zai wo men you xi le de sheng ming rang zhu ai chong man wo men de xin sheng ming huo hua yang zi xin di lei shui bu zai wo men you yong heng de sheng ming
A6-1,PnW,爱是从神而来,"上帝疼你啦
都是我爱你
不论在何时
不论在何处
不论你来自何方
爱能使你满足
爱是从神而来
爱是恒久忍耐
爱里没有惧怕
只要信靠
爱就与你同在
爱是从神而来
信了就能明白
爱是生命盼望
永不止息
因神就是爱",shang di teng ni la dou shi wo ai ni bu lun zai he shi bu lun zai he chu bu lun ni lai zi he fang ai neng shi ni man zu ai shi cong shen er lai ai shi heng jiu ren nai ai li mei you ju pa zhi yao xin kao ai jiu yu ni tong zai ai shi cong shen er lai xin le jiu neng ming bai ai shi sheng ming pan wang yong bu zhi xi yin shen jiu shi ai
A6-2,PnW,爱使我们勇敢,"勇敢去爱，不计较代价。
温暖冰冷心，像耀眼的阳光。
爱使我们得痊愈，放下固执的模样，
向前踏一步，更多靠近，更多接纳。
爱让我们原谅，我们和好。
爱让生命成长。
爱让我们靠近，学习勇敢。
被爱感动。
爱让我们拥抱；我们微笑。
爱让生命绽放。
爱让我们勇敢。
爱让我们牵起手来。",yong gan qu ai bu ji jiao dai jia wen nuan bing leng xin xiang yao yan de yang guang ai shi wo men de quan yu fang xia gu zhi de mu yang xiang qian ta yi bu geng duo kao jin geng duo jie na ai rang wo men yuan liang wo men he hao ai rang sheng ming cheng zhang ai rang wo men kao jin xue xi yong gan bei ai gan dong ai rang wo men yong bao wo men wei xiao ai rang sheng ming zhan fang ai rang wo men yong gan ai rang wo men qian qi shou lai
A8-1,PnW,爱使我们相聚一起,"爱使我们相聚一起，爱使我们相聚一起，上帝圣灵使我们心灵合一，爱使我们相聚一起。
让我们一齐高声唱，让主爱从我们开始，我们手拉手，让世界知道，爱使我们相聚一起。",ai shi wo men xiang ju yi qi ai shi wo men xiang ju yi qi shang di sheng ling shi wo men xin ling he yi ai shi wo men xiang ju yi qi rang wo men yi qi gao sheng chang rang zhu ai cong wo men kai shi wo men shou la shou rang shi jie zhi dao ai shi wo men xiang ju yi qi
